,Date,Age,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
43,1992-01-30,28.0,L,9.0,26.0,0.34600000000000003,0.0,1.0,4.0,4.0,5.0,5.0,3.0,0.0,1.0,22.0,14.0
44,1992-01-31,28.0,W,10.0,17.0,0.588,0.0,1.0,5.0,6.0,10.0,9.0,1.0,0.0,1.0,25.0,25.6
45,1992-02-02,28.0,W,13.0,27.0,0.48100000000000004,1.0,1.0,6.0,8.0,8.0,11.0,2.0,0.0,5.0,33.0,24.0
46,1992-02-03,28.0,L,13.0,34.0,0.382,1.0,1.0,7.0,9.0,13.0,8.0,2.0,1.0,2.0,34.0,23.6
47,1992-02-11,28.0,W,13.0,23.0,0.565,0.0,0.0,8.0,9.0,6.0,7.0,4.0,2.0,3.0,34.0,31.4
48,1992-02-13,28.0,W,4.0,15.0,0.267,0.0,0.0,9.0,11.0,2.0,5.0,1.0,0.0,1.0,17.0,11.0
49,1992-02-15,28.0,W,9.0,24.0,0.375,0.0,0.0,11.0,12.0,5.0,2.0,2.0,2.0,3.0,29.0,17.9
50,1992-02-17,29.0,L,21.0,32.0,0.6559999999999999,0.0,1.0,4.0,5.0,4.0,6.0,0.0,0.0,3.0,46.0,34.0
51,1992-02-19,29.0,W,11.0,23.0,0.478,0.0,1.0,5.0,7.0,10.0,8.0,2.0,0.0,3.0,27.0,23.7
52,1992-02-21,29.0,W,14.0,23.0,0.609,0.0,0.0,5.0,6.0,10.0,14.0,4.0,0.0,4.0,33.0,34.5
53,1992-02-22,29.0,W,13.0,27.0,0.48100000000000004,0.0,3.0,4.0,6.0,6.0,8.0,1.0,2.0,1.0,30.0,24.3
54,1992-02-25,29.0,L,11.0,22.0,0.5,0.0,0.0,1.0,3.0,4.0,6.0,4.0,1.0,1.0,23.0,19.9
55,1992-02-26,29.0,W,10.0,17.0,0.588,1.0,3.0,5.0,6.0,4.0,1.0,2.0,0.0,0.0,26.0,22.4
56,1992-02-28,29.0,W,8.0,18.0,0.444,0.0,0.0,8.0,10.0,6.0,6.0,2.0,2.0,2.0,24.0,20.8
57,1992-03-01,29.0,W,10.0,23.0,0.435,0.0,2.0,11.0,12.0,9.0,7.0,3.0,0.0,5.0,31.0,22.9
58,1992-03-03,29.0,L,12.0,21.0,0.5710000000000001,0.0,0.0,3.0,5.0,7.0,5.0,0.0,1.0,2.0,27.0,20.2
59,1992-03-05,29.0,W,14.0,26.0,0.5379999999999999,0.0,0.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,33.0,25.3
60,1992-03-06,29.0,W,12.0,20.0,0.6,0.0,1.0,3.0,3.0,6.0,2.0,2.0,1.0,2.0,27.0,20.9
61,1992-03-08,29.0,W,12.0,26.0,0.462,0.0,1.0,10.0,13.0,11.0,8.0,1.0,0.0,1.0,34.0,28.3
62,1992-03-11,29.0,W,14.0,23.0,0.609,0.0,0.0,4.0,4.0,13.0,3.0,0.0,2.0,4.0,32.0,24.1
