,Rk,G,1985 Playoffs,Series,Tm, ,Opp,G#, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
107,89,19,1992-06-07,FIN,CHI,@,POR,3,W (+10),1,41:00,11,22,.500,0,1,.000,4,4,1.000,2,5,7,4,3,0,5,4,26,17.1
108,90,20,1992-06-10,FIN,CHI,@,POR,4,L (-5),1,44:00,11,26,.423,2,6,.333,8,8,1.000,0,5,5,6,0,0,5,4,32,17.3
109,91,21,1992-06-12,FIN,CHI,@,POR,5,W (+13),1,42:00,14,23,.609,2,4,.500,16,19,.842,0,5,5,4,0,1,4,5,46,33.3
110,92,22,1992-06-14,FIN,CHI,,POR,6,W (+4),1,43:00,13,24,.542,2,3,.667,5,5,1.000,1,3,4,4,4,1,4,3,33,25.3
111,Rk,G,1993 Playoffs,Series,Tm, ,Opp,G#, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
112,93,1,1993-04-30,EC1,CHI,,ATL,1,W (+24),1,29:00,15,26,.577,2,4,.500,3,4,.750,3,4,7,5,0,0,0,3,35,28.0
113,94,2,1993-05-02,EC1,CHI,,ATL,2,W (+15),1,38:00,10,24,.417,2,4,.500,7,8,.875,0,6,6,4,3,4,0,5,29,24.2
114,95,3,1993-05-04,EC1,CHI,@,ATL,3,W (+10),1,40:00,16,28,.571,2,5,.400,5,5,1.000,0,7,7,4,2,1,4,4,39,27.8
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,96,4,1993-05-11,ECS,CHI,,CLE,1,W (+7),1,42:00,16,30,.533,0,4,.000,11,11,1.000,0,0,0,4,3,1,3,3,43,30.7
117,97,5,1993-05-13,ECS,CHI,,CLE,2,W (+19),1,31:00,8,18,.444,0,2,.000,2,5,.400,2,3,5,6,2,0,2,0,18,13.9
118,98,6,1993-05-15,ECS,CHI,@,CLE,3,W (+6),1,40:00,12,24,.500,0,1,.000,8,10,.800,2,4,6,5,2,0,2,1,32,24.9
