,G,Date,Age,WL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS,GmSc,+/-
340,1,1990-11-02,27,L,,14.0,24.0,0.583,1.0,3.0,0.333,5.0,5.0,1.0,5.0,7.0,7.0,0.0,5.0,34.0,30.8,
341,2,1990-11-03,27,L,,11.0,22.0,0.5,0.0,0.0,,6.0,9.0,0.667,10.0,1.0,1.0,0.0,2.0,28.0,19.3,
342,3,1990-11-06,27,L,,14.0,28.0,0.5,0.0,1.0,0.0,5.0,6.0,0.833,8.0,12.0,3.0,0.0,2.0,33.0,30.0,
343,4,1990-11-07,27,W,,7.0,14.0,0.5,0.0,0.0,,3.0,5.0,0.6,5.0,6.0,0.0,1.0,1.0,17.0,13.4,
344,5,1990-11-09,27,W,,17.0,25.0,0.68,0.0,1.0,0.0,7.0,8.0,0.875,5.0,6.0,2.0,0.0,3.0,41.0,33.8,
345,6,1990-11-10,27,W,,8.0,15.0,0.5329999999999999,0.0,0.0,,7.0,8.0,0.875,6.0,8.0,3.0,0.0,3.0,23.0,22.7,
346,7,1990-11-13,27,W,,10.0,22.0,0.455,1.0,1.0,1.0,8.0,10.0,0.8,11.0,5.0,1.0,2.0,1.0,29.0,25.8,
347,8,1990-11-15,27,L,,6.0,12.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,8.0,6.0,1.0,1.0,2.0,14.0,13.1,
348,9,1990-11-17,27,W,,13.0,20.0,0.65,0.0,0.0,,7.0,8.0,0.875,4.0,3.0,7.0,1.0,1.0,33.0,34.2,
349,10,1990-11-18,27,L,,12.0,25.0,0.48,0.0,2.0,0.0,5.0,6.0,0.833,5.0,7.0,1.0,1.0,2.0,29.0,20.4,
350,11,1990-11-21,27,L,,15.0,32.0,0.469,0.0,0.0,,4.0,4.0,1.0,4.0,4.0,4.0,0.0,3.0,34.0,22.2,
351,12,1990-11-23,27,W,,5.0,12.0,0.417,0.0,0.0,,4.0,4.0,1.0,6.0,7.0,3.0,0.0,2.0,14.0,15.3,
352,13,1990-11-24,27,W,,14.0,24.0,0.583,0.0,0.0,,10.0,10.0,1.0,7.0,12.0,3.0,1.0,3.0,38.0,37.2,
353,14,1990-11-28,27,W,,11.0,15.0,0.733,0.0,0.0,,2.0,3.0,0.667,2.0,7.0,3.0,1.0,1.0,24.0,24.9,
354,15,1990-11-30,27,W,,15.0,19.0,0.789,0.0,0.0,,7.0,9.0,0.778,5.0,3.0,2.0,2.0,1.0,37.0,33.7,
355,16,1990-12-01,27,W,,13.0,18.0,0.722,1.0,1.0,1.0,5.0,6.0,0.833,2.0,4.0,2.0,0.0,1.0,32.0,27.8,
356,17,1990-12-04,27,W,,12.0,22.0,0.545,0.0,0.0,,3.0,3.0,1.0,4.0,7.0,0.0,1.0,2.0,27.0,19.6,
357,18,1990-12-07,27,W,,14.0,25.0,0.56,0.0,2.0,0.0,5.0,7.0,0.7140000000000001,7.0,9.0,8.0,1.0,2.0,33.0,35.8,
358,19,1990-12-08,27,L,,16.0,28.0,0.5710000000000001,0.0,2.0,0.0,3.0,4.0,0.75,6.0,3.0,2.0,2.0,5.0,35.0,22.5,
359,20,1990-12-11,27,L,,13.0,23.0,0.565,0.0,0.0,,5.0,7.0,0.7140000000000001,4.0,5.0,3.0,1.0,4.0,31.0,22.9,
360,21,1990-12-14,27,W,,8.0,15.0,0.5329999999999999,0.0,0.0,,4.0,6.0,0.667,8.0,8.0,1.0,2.0,3.0,20.0,18.9,
361,22,1990-12-15,27,W,,11.0,17.0,0.647,0.0,0.0,,2.0,2.0,1.0,9.0,6.0,5.0,3.0,2.0,24.0,30.1,
362,23,1990-12-18,27,W,,14.0,22.0,0.636,0.0,0.0,,11.0,12.0,0.917,9.0,6.0,6.0,2.0,2.0,39.0,41.5,
363,24,1990-12-19,27,L,,13.0,22.0,0.591,0.0,1.0,0.0,7.0,7.0,1.0,5.0,6.0,1.0,0.0,1.0,33.0,28.9,
364,25,1990-12-21,27,W,,14.0,30.0,0.467,0.0,2.0,0.0,5.0,6.0,0.833,15.0,9.0,2.0,1.0,1.0,33.0,31.7,
365,26,1990-12-22,27,W,,10.0,20.0,0.5,0.0,0.0,,9.0,12.0,0.75,7.0,5.0,0.0,2.0,2.0,29.0,22.0,
366,27,1990-12-25,27,W,,14.0,23.0,0.609,1.0,1.0,1.0,8.0,10.0,0.8,8.0,3.0,3.0,2.0,3.0,37.0,30.8,
367,28,1990-12-27,27,W,,17.0,25.0,0.68,1.0,2.0,0.5,7.0,7.0,1.0,14.0,7.0,3.0,1.0,1.0,42.0,42.3,
