,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc,+/-
222,2016-05-19,W,7.0,13.0,0.5379999999999999,0.0,2.0,9.0,17.0,11.0,11.0,3.0,0.0,2.0,23.0,25.1,16.0
223,2016-05-21,L,9.0,17.0,0.529,1.0,5.0,5.0,7.0,8.0,5.0,2.0,0.0,2.0,24.0,21.2,-12.0
224,2016-05-23,L,11.0,16.0,0.688,1.0,3.0,6.0,6.0,9.0,6.0,2.0,1.0,1.0,29.0,31.2,-3.0
225,2016-05-25,W,10.0,17.0,0.588,2.0,4.0,1.0,3.0,6.0,8.0,2.0,1.0,2.0,23.0,21.6,32.0
226,2016-05-27,W,13.0,22.0,0.591,3.0,6.0,4.0,7.0,11.0,6.0,1.0,3.0,3.0,33.0,29.2,22.0
228,2016-06-02,L,9.0,21.0,0.429,2.0,4.0,3.0,4.0,12.0,9.0,2.0,1.0,4.0,23.0,20.9,-9.0
229,2016-06-05,L,7.0,17.0,0.41200000000000003,1.0,5.0,4.0,4.0,8.0,9.0,4.0,1.0,7.0,19.0,15.1,-20.0
230,2016-06-08,W,14.0,26.0,0.5379999999999999,1.0,2.0,3.0,5.0,11.0,6.0,1.0,2.0,5.0,32.0,23.5,24.0
231,2016-06-10,L,11.0,21.0,0.524,1.0,5.0,2.0,4.0,13.0,9.0,2.0,3.0,7.0,25.0,21.2,-12.0
232,2016-06-13,W,16.0,30.0,0.5329999999999999,4.0,8.0,5.0,8.0,16.0,7.0,3.0,3.0,2.0,41.0,39.2,13.0
233,2016-06-16,W,16.0,27.0,0.593,3.0,6.0,6.0,8.0,8.0,11.0,4.0,3.0,1.0,41.0,42.5,26.0
234,2016-06-19,W,9.0,24.0,0.375,1.0,5.0,8.0,10.0,11.0,11.0,2.0,3.0,5.0,27.0,23.1,4.0
236,2017-04-15,W,12.0,20.0,0.6,2.0,3.0,6.0,9.0,6.0,13.0,3.0,0.0,3.0,32.0,31.7,5.0
237,2017-04-17,W,11.0,20.0,0.55,0.0,2.0,3.0,6.0,10.0,7.0,4.0,4.0,8.0,25.0,20.1,6.0
238,2017-04-20,W,14.0,27.0,0.519,6.0,12.0,7.0,14.0,13.0,12.0,1.0,2.0,3.0,41.0,35.4,13.0
239,2017-04-23,W,13.0,25.0,0.52,1.0,3.0,6.0,9.0,10.0,4.0,4.0,2.0,4.0,33.0,26.3,4.0
241,2017-05-01,W,13.0,23.0,0.565,2.0,5.0,7.0,8.0,10.0,4.0,1.0,1.0,3.0,35.0,28.2,16.0
242,2017-05-03,W,10.0,14.0,0.7140000000000001,4.0,6.0,15.0,21.0,6.0,4.0,3.0,2.0,3.0,39.0,36.0,24.0
243,2017-05-05,W,9.0,16.0,0.563,2.0,4.0,15.0,16.0,8.0,7.0,1.0,0.0,5.0,35.0,29.9,20.0
244,2017-05-07,W,11.0,22.0,0.5,5.0,12.0,8.0,9.0,9.0,6.0,0.0,1.0,6.0,35.0,25.2,7.0
246,2017-05-17,W,14.0,24.0,0.583,1.0,6.0,9.0,11.0,9.0,7.0,2.0,0.0,2.0,38.0,33.6,17.0
247,2017-05-19,W,12.0,18.0,0.667,4.0,6.0,2.0,4.0,4.0,7.0,4.0,3.0,1.0,30.0,32.2,46.0
248,2017-05-21,L,4.0,13.0,0.308,0.0,4.0,3.0,6.0,6.0,6.0,1.0,1.0,6.0,11.0,3.6,1.0
249,2017-05-23,W,15.0,27.0,0.556,1.0,6.0,3.0,4.0,5.0,6.0,1.0,1.0,5.0,34.0,21.5,7.0
250,2017-05-25,W,13.0,18.0,0.722,4.0,7.0,5.0,8.0,8.0,8.0,3.0,1.0,2.0,35.0,34.9,36.0
252,2017-06-01,L,9.0,20.0,0.45,2.0,6.0,8.0,12.0,15.0,8.0,0.0,2.0,8.0,28.0,19.1,-22.0
253,2017-06-04,L,12.0,18.0,0.667,1.0,3.0,4.0,5.0,11.0,14.0,3.0,1.0,4.0,29.0,32.8,-11.0
254,2017-06-07,L,15.0,27.0,0.556,4.0,9.0,5.0,6.0,11.0,9.0,1.0,1.0,5.0,39.0,32.4,7.0
255,2017-06-09,W,11.0,22.0,0.5,3.0,8.0,6.0,10.0,10.0,11.0,1.0,0.0,2.0,31.0,27.7,32.0
256,2017-06-12,L,19.0,30.0,0.633,2.0,5.0,1.0,4.0,13.0,8.0,2.0,1.0,2.0,41.0,36.2,-13.0
258,2018-04-15,L,7.0,17.0,0.41200000000000003,0.0,4.0,10.0,14.0,10.0,12.0,1.0,1.0,3.0,24.0,23.8,-13.0
259,2018-04-18,W,17.0,24.0,0.708,2.0,5.0,10.0,13.0,12.0,5.0,2.0,0.0,3.0,46.0,40.9,7.0
260,2018-04-20,L,10.0,22.0,0.455,4.0,7.0,4.0,6.0,12.0,8.0,1.0,1.0,6.0,28.0,21.5,-1.0
261,2018-04-22,W,12.0,22.0,0.545,0.0,5.0,8.0,9.0,13.0,7.0,0.0,2.0,1.0,32.0,29.8,3.0
262,2018-04-25,W,14.0,24.0,0.583,1.0,4.0,15.0,15.0,10.0,8.0,1.0,1.0,5.0,44.0,38.1,2.0
263,2018-04-27,L,7.0,16.0,0.43799999999999994,3.0,6.0,5.0,5.0,5.0,7.0,1.0,2.0,4.0,22.0,17.2,-24.0
264,2018-04-29,W,16.0,25.0,0.64,2.0,3.0,11.0,15.0,8.0,7.0,4.0,0.0,4.0,45.0,38.8,-2.0
266,2018-05-01,W,12.0,30.0,0.4,1.0,8.0,1.0,6.0,11.0,13.0,1.0,2.0,1.0,26.0,20.8,5.0
267,2018-05-03,W,19.0,28.0,0.679,1.0,3.0,4.0,8.0,8.0,14.0,1.0,0.0,1.0,43.0,41.6,20.0
268,2018-05-05,W,14.0,26.0,0.5379999999999999,1.0,4.0,9.0,11.0,6.0,7.0,3.0,1.0,4.0,38.0,31.0,2.0
269,2018-05-07,W,12.0,19.0,0.632,0.0,3.0,5.0,8.0,8.0,11.0,2.0,1.0,2.0,29.0,29.3,28.0
271,2018-05-13,L,5.0,16.0,0.313,0.0,5.0,5.0,6.0,7.0,9.0,0.0,2.0,7.0,15.0,7.8,-32.0
272,2018-05-15,L,16.0,29.0,0.552,5.0,11.0,5.0,10.0,10.0,12.0,0.0,1.0,6.0,42.0,31.4,-9.0
273,2018-05-19,W,8.0,12.0,0.667,3.0,3.0,8.0,10.0,5.0,12.0,2.0,2.0,3.0,27.0,30.5,31.0
274,2018-05-21,W,17.0,28.0,0.607,1.0,4.0,9.0,13.0,5.0,3.0,2.0,0.0,7.0,44.0,27.4,9.0
275,2018-05-23,L,11.0,22.0,0.5,1.0,6.0,3.0,4.0,10.0,5.0,1.0,0.0,6.0,26.0,15.3,-11.0
276,2018-05-25,W,17.0,33.0,0.515,5.0,7.0,7.0,11.0,11.0,9.0,3.0,1.0,3.0,46.0,38.8,15.0
277,2018-05-27,W,12.0,24.0,0.5,3.0,8.0,8.0,11.0,15.0,9.0,0.0,2.0,8.0,35.0,24.4,8.0
279,2018-05-31,L,19.0,32.0,0.594,3.0,7.0,10.0,11.0,8.0,8.0,1.0,1.0,5.0,51.0,41.3,-13.0
280,2018-06-03,L,10.0,20.0,0.5,2.0,4.0,7.0,9.0,9.0,13.0,2.0,0.0,5.0,29.0,26.6,-18.0
281,2018-06-06,L,13.0,28.0,0.46399999999999997,1.0,6.0,6.0,7.0,10.0,11.0,2.0,2.0,4.0,33.0,28.7,-8.0
282,2018-06-08,L,7.0,13.0,0.5379999999999999,0.0,1.0,9.0,11.0,7.0,8.0,0.0,1.0,6.0,23.0,16.7,-21.0
