,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc,+/-
50,2008-05-14,L,12.0,25.0,0.48,0.0,5.0,11.0,13.0,3.0,5.0,1.0,1.0,4.0,35.0,22.4,-8.0
51,2008-05-16,W,9.0,23.0,0.391,1.0,3.0,13.0,15.0,12.0,6.0,2.0,1.0,8.0,32.0,21.6,7.0
52,2008-05-18,L,14.0,29.0,0.483,3.0,11.0,14.0,19.0,5.0,6.0,2.0,0.0,2.0,45.0,32.8,0.0
54,2009-04-18,W,13.0,20.0,0.65,1.0,4.0,11.0,14.0,8.0,7.0,1.0,0.0,0.0,38.0,35.9,22.0
55,2009-04-21,W,7.0,14.0,0.5,2.0,5.0,13.0,17.0,13.0,6.0,0.0,0.0,2.0,29.0,26.5,21.0
56,2009-04-24,W,9.0,19.0,0.474,0.0,5.0,7.0,11.0,11.0,9.0,3.0,2.0,2.0,25.0,26.5,13.0
57,2009-04-26,W,10.0,24.0,0.41700000000000004,0.0,3.0,16.0,17.0,13.0,8.0,2.0,1.0,2.0,36.0,32.2,10.0
59,2009-05-05,W,12.0,20.0,0.6,2.0,6.0,8.0,9.0,10.0,3.0,4.0,0.0,3.0,34.0,31.7,13.0
60,2009-05-07,W,9.0,14.0,0.643,3.0,5.0,6.0,12.0,3.0,5.0,4.0,1.0,0.0,27.0,27.1,23.0
61,2009-05-09,W,15.0,25.0,0.6,5.0,10.0,12.0,16.0,12.0,8.0,1.0,1.0,1.0,47.0,43.8,26.0
62,2009-05-11,W,9.0,22.0,0.409,3.0,6.0,6.0,9.0,8.0,8.0,1.0,0.0,3.0,27.0,18.8,1.0
64,2009-05-20,L,20.0,30.0,0.667,3.0,6.0,6.0,10.0,6.0,8.0,2.0,3.0,2.0,49.0,44.7,7.0
65,2009-05-22,W,12.0,23.0,0.522,1.0,3.0,10.0,12.0,4.0,5.0,1.0,0.0,6.0,35.0,22.2,-7.0
66,2009-05-24,L,11.0,28.0,0.39299999999999996,1.0,8.0,18.0,24.0,7.0,9.0,2.0,1.0,2.0,41.0,31.3,-12.0
67,2009-05-26,L,13.0,29.0,0.44799999999999995,4.0,10.0,14.0,18.0,12.0,7.0,1.0,1.0,8.0,44.0,27.9,6.0
68,2009-05-28,W,11.0,24.0,0.45799999999999996,0.0,2.0,15.0,19.0,14.0,12.0,1.0,1.0,4.0,37.0,33.3,11.0
69,2009-05-30,L,8.0,20.0,0.4,2.0,8.0,7.0,11.0,7.0,7.0,0.0,1.0,3.0,25.0,16.1,-12.0
71,2010-04-17,W,9.0,19.0,0.474,0.0,1.0,6.0,7.0,6.0,5.0,1.0,4.0,3.0,24.0,19.2,19.0
72,2010-04-19,W,16.0,23.0,0.696,2.0,4.0,6.0,6.0,8.0,8.0,1.0,2.0,2.0,40.0,38.3,6.0
73,2010-04-22,L,14.0,26.0,0.5379999999999999,4.0,8.0,7.0,13.0,10.0,8.0,2.0,3.0,5.0,39.0,31.3,5.0
74,2010-04-25,W,11.0,17.0,0.647,6.0,9.0,9.0,10.0,12.0,11.0,2.0,1.0,2.0,37.0,39.9,29.0
75,2010-04-27,W,5.0,12.0,0.41700000000000004,1.0,2.0,8.0,14.0,10.0,9.0,0.0,2.0,3.0,19.0,18.7,1.0
77,2010-05-01,W,12.0,24.0,0.5,3.0,6.0,8.0,11.0,7.0,7.0,3.0,2.0,2.0,35.0,31.6,7.0
78,2010-05-03,L,7.0,15.0,0.467,0.0,4.0,10.0,15.0,7.0,4.0,3.0,2.0,5.0,24.0,18.2,-16.0
79,2010-05-07,W,14.0,22.0,0.636,2.0,3.0,8.0,9.0,8.0,7.0,1.0,2.0,1.0,38.0,36.9,30.0
80,2010-05-09,L,7.0,18.0,0.389,0.0,5.0,8.0,11.0,9.0,8.0,2.0,1.0,7.0,22.0,13.8,-10.0
81,2010-05-11,L,3.0,14.0,0.214,0.0,4.0,9.0,12.0,6.0,7.0,1.0,0.0,3.0,15.0,9.1,-22.0
82,2010-05-13,L,8.0,21.0,0.381,2.0,4.0,9.0,12.0,19.0,10.0,3.0,1.0,9.0,27.0,22.1,-5.0
84,2011-04-16,W,4.0,14.0,0.28600000000000003,0.0,2.0,13.0,14.0,14.0,5.0,1.0,3.0,2.0,21.0,21.6,4.0
85,2011-04-18,W,10.0,19.0,0.526,1.0,1.0,8.0,10.0,7.0,6.0,0.0,0.0,0.0,29.0,25.2,24.0
86,2011-04-21,W,8.0,15.0,0.5329999999999999,1.0,4.0,7.0,10.0,15.0,6.0,1.0,0.0,1.0,24.0,24.2,8.0
87,2011-04-24,L,11.0,20.0,0.55,0.0,4.0,9.0,11.0,7.0,6.0,1.0,1.0,1.0,31.0,27.6,-4.0
88,2011-04-27,W,5.0,13.0,0.385,2.0,5.0,4.0,5.0,10.0,8.0,1.0,0.0,3.0,16.0,15.5,5.0
90,2011-05-01,W,8.0,19.0,0.42100000000000004,1.0,3.0,5.0,9.0,6.0,5.0,2.0,2.0,3.0,22.0,15.6,1.0
91,2011-05-03,W,14.0,25.0,0.56,2.0,4.0,5.0,8.0,7.0,2.0,1.0,1.0,0.0,35.0,26.7,10.0
92,2011-05-07,L,6.0,16.0,0.375,0.0,3.0,3.0,7.0,7.0,4.0,2.0,5.0,4.0,15.0,10.6,-21.0
93,2011-05-09,W,12.0,28.0,0.429,2.0,6.0,9.0,9.0,14.0,3.0,3.0,0.0,5.0,35.0,24.5,7.0
94,2011-05-11,W,11.0,20.0,0.55,5.0,7.0,6.0,9.0,7.0,4.0,1.0,1.0,5.0,33.0,24.2,14.0
96,2011-05-15,L,5.0,15.0,0.33299999999999996,1.0,3.0,4.0,4.0,6.0,6.0,2.0,3.0,4.0,15.0,12.2,-14.0
97,2011-05-18,W,12.0,21.0,0.5710000000000001,2.0,6.0,3.0,7.0,10.0,5.0,3.0,0.0,5.0,29.0,22.0,8.0
98,2011-05-22,W,6.0,13.0,0.462,1.0,2.0,9.0,9.0,6.0,10.0,2.0,2.0,0.0,22.0,26.3,16.0
