,Unnamed: 0,Date,Age,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
720,720,2003-01-10,39.0,L,7.0,17.0,0.412,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,14.0,9.3
721,721,2003-01-11,39.0,W,8.0,25.0,0.32,0.0,0.0,7.0,9.0,10.0,3.0,1.0,0.0,2.0,23.0,13.2
722,722,2003-01-14,39.0,L,8.0,23.0,0.348,0.0,0.0,6.0,6.0,5.0,4.0,3.0,2.0,2.0,22.0,16.2
723,723,2003-01-16,39.0,W,12.0,25.0,0.48,0.0,1.0,8.0,10.0,6.0,8.0,2.0,0.0,1.0,32.0,26.1
724,724,2003-01-18,39.0,L,10.0,25.0,0.4,0.0,3.0,5.0,6.0,8.0,7.0,5.0,1.0,2.0,25.0,21.3
725,725,2003-01-20,39.0,W,11.0,22.0,0.5,0.0,2.0,3.0,4.0,5.0,6.0,1.0,1.0,3.0,25.0,17.2
726,726,2003-01-22,39.0,L,9.0,21.0,0.429,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,2.0,18.0,10.8
727,727,2003-01-24,39.0,L,4.0,14.0,0.28600000000000003,0.0,0.0,3.0,4.0,5.0,3.0,1.0,1.0,1.0,11.0,6.7
728,728,2003-01-25,39.0,L,8.0,18.0,0.444,0.0,1.0,1.0,2.0,8.0,5.0,2.0,1.0,4.0,17.0,11.8
729,729,2003-01-27,39.0,W,9.0,14.0,0.643,0.0,0.0,1.0,2.0,7.0,1.0,2.0,0.0,5.0,19.0,11.8
730,730,2003-01-29,39.0,L,4.0,16.0,0.25,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,8.0,-0.4
731,731,2003-01-30,39.0,L,11.0,24.0,0.458,0.0,1.0,2.0,3.0,4.0,4.0,1.0,0.0,2.0,24.0,14.6
732,732,2003-02-01,39.0,W,18.0,33.0,0.545,0.0,0.0,9.0,10.0,3.0,6.0,1.0,1.0,2.0,45.0,31.9
