,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
56,1990-05-20,L,12.0,27.0,0.444,2.0,6.0,8.0,8.0,7.0,5.0,3.0,0.0,1.0,34.0,26.7
57,1990-05-22,L,5.0,16.0,0.313,0.0,2.0,10.0,12.0,7.0,7.0,4.0,1.0,3.0,20.0,17.1
58,1990-05-26,W,17.0,32.0,0.531,2.0,2.0,11.0,13.0,10.0,4.0,1.0,0.0,4.0,47.0,33.4
59,1990-05-28,W,13.0,26.0,0.5,0.0,1.0,16.0,19.0,4.0,9.0,4.0,3.0,4.0,42.0,35.4
60,1990-05-30,L,7.0,19.0,0.368,1.0,4.0,7.0,9.0,4.0,8.0,1.0,0.0,1.0,22.0,17.5
61,1990-06-01,W,11.0,20.0,0.55,1.0,4.0,6.0,6.0,10.0,2.0,1.0,0.0,3.0,29.0,20.6
62,1990-06-03,L,13.0,27.0,0.48100000000000004,0.0,2.0,5.0,5.0,8.0,9.0,1.0,0.0,4.0,31.0,23.0
64,1991-04-25,W,8.0,15.0,0.5329999999999999,3.0,4.0,9.0,9.0,6.0,6.0,2.0,0.0,1.0,28.0,27.3
65,1991-04-28,W,9.0,16.0,0.563,0.0,0.0,8.0,9.0,5.0,5.0,0.0,1.0,2.0,26.0,21.3
66,1991-04-30,W,14.0,28.0,0.5,0.0,2.0,5.0,5.0,3.0,7.0,6.0,1.0,1.0,33.0,29.7
68,1991-05-04,W,8.0,15.0,0.5329999999999999,0.0,1.0,13.0,15.0,5.0,5.0,3.0,1.0,1.0,29.0,27.8
69,1991-05-06,W,12.0,26.0,0.462,0.0,5.0,5.0,7.0,8.0,9.0,1.0,1.0,1.0,29.0,23.0
70,1991-05-10,L,20.0,34.0,0.588,0.0,0.0,6.0,9.0,4.0,6.0,1.0,4.0,2.0,46.0,35.0
71,1991-05-12,W,11.0,27.0,0.40700000000000003,2.0,3.0,1.0,2.0,4.0,12.0,4.0,0.0,1.0,25.0,21.1
72,1991-05-14,W,14.0,31.0,0.452,0.0,2.0,10.0,11.0,19.0,7.0,0.0,1.0,4.0,38.0,29.2
74,1991-05-19,W,6.0,15.0,0.4,0.0,1.0,10.0,13.0,3.0,6.0,3.0,0.0,6.0,22.0,13.2
75,1991-05-21,W,10.0,20.0,0.5,2.0,2.0,13.0,14.0,3.0,7.0,2.0,0.0,3.0,35.0,29.4
76,1991-05-25,W,11.0,19.0,0.579,0.0,0.0,11.0,12.0,7.0,7.0,3.0,5.0,1.0,33.0,34.6
77,1991-05-27,W,11.0,17.0,0.647,1.0,2.0,6.0,9.0,8.0,8.0,1.0,2.0,2.0,29.0,27.9
79,1991-06-02,L,14.0,24.0,0.583,1.0,1.0,7.0,9.0,8.0,12.0,3.0,0.0,4.0,36.0,32.6
80,1991-06-05,W,15.0,18.0,0.833,0.0,1.0,3.0,4.0,7.0,13.0,2.0,1.0,4.0,33.0,34.7
81,1991-06-07,W,11.0,28.0,0.39299999999999996,1.0,1.0,6.0,6.0,9.0,9.0,4.0,2.0,3.0,29.0,24.8
82,1991-06-09,W,11.0,20.0,0.55,0.0,1.0,6.0,6.0,5.0,13.0,0.0,2.0,1.0,28.0,28.6
